sub,device,task,overall,A,B,C,D,E,F,G,H,I,J,K,L,M
1,2,P,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,2,E,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
1,2,W,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2,0.5
1,2,WG,3,3,3,3,3,3,3,3,3,3,3,3,3,3
1,2,C,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
1,2,CG,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,6,P,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,6,E,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,6,W,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
1,6,WG,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,6,C,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,6,CG,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,5,P,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1,5,E,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1,5,W,3,3,3,3,3,3,3,3,3,3,3,3,3,3
1,5,WG,3,3,3,3,3,3,3,3,3,3,3,3,3,3
1,5,C,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1,5,CG,3,4,3,3,3,3,3,3,3,3,3,3,3,3
1,4,P,3,3,3,3,3,3,3,3,3,3,3,3,3,3
1,4,E,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1,4,W,3,3,3,3,3,3,3,3,3,3,3,3,3,3
1,4,WG,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1,4,C,3,3,3,3,3,3,3,3,3,3,3,3,3,3
1,4,CG,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1,1,P,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,E,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,W,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,WG,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1,1,C,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,CG,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,3,P,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1,3,E,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1,3,W,3,3,3,3,3,3,3,3,3,3,3,3,3,3
1,3,WG,3,3,3,3,3,3,3,3,3,3,3,3,3,3
1,3,C,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1,3,CG,3,3,3,3,3,3,3,3,3,3,3,3,3,3
1,0,W,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
1,0,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0
