DATA_TYPE MOVIE
VERSION Tekscan 압력 측정 시스템 6.70-03
HARDWARE 00114-3201
MAP_VERSION 6.5
HW_TYPE 4
VersaPogoFsx 0
파일 이름 C:\Tekscan\Research\Database\MOVIES\1x\x13R.fsx
SENSOR_TYPE GRIP2-High
ROWS 29
COLS 25
ROW_SPACING 4.0005 millimeters
COL_SPACING 4.0005 millimeters
SENSEL_AREA 16.0038 mm2
NOISE_THRESHOLD 3
SECONDS_PER_FRAME 0.02
SECONDS_PER_FRAME 0
MICRO_SECOND 0
TIME 2019-05-15 9:48:51.1오후
SCALE_FACTOR  0.238516  1.51258  0.00462234  0.000132955  0.351349  0.000419876  0.117021  0.000560536 N/cm2 / raw
EXPONENT 0.849026 0.684311 1.74367 2.38147 0.754554 2.04007 0.851172 2.11511
SATURATION_PRESSURE 26.3471 N/cm2 (Tile0, Exponential Extrapolation)
SATURATION_PRESSURE 67.0718 N/cm2 (Tile1, Exponential Extrapolation)
SATURATION_PRESSURE 72.6229 N/cm2 (Tile2, Exponential Extrapolation)
SATURATION_PRESSURE 71.5827 N/cm2 (Tile3, Exponential Extrapolation)
SATURATION_PRESSURE 22.9934 N/cm2 (Tile4, Exponential Extrapolation)
SATURATION_PRESSURE 34.0903 N/cm2 (Tile5, Exponential Extrapolation)
SATURATION_PRESSURE 13.0811 N/cm2 (Tile6, Exponential Extrapolation)
SATURATION_PRESSURE 68.9764 N/cm2 (Tile7, Exponential Extrapolation)
CALIBRATION_POINT_1 584 (Grams) 296 (Raw Sum) 4 (Number of Loaded Cells)
CALIBRATION_MODE_1 점
CALIBRATION_POINT_2 1197 (Grams) 670 (Raw Sum) 6 (Number of Loaded Cells)
CALIBRATION_MODE_2 점
CALIBRATION_POINT_1 584 (Grams) 90 (Raw Sum) 2 (Number of Loaded Cells)
CALIBRATION_MODE_1 점
CALIBRATION_POINT_2 1197 (Grams) 263 (Raw Sum) 2 (Number of Loaded Cells)
CALIBRATION_MODE_2 점
CALIBRATION_POINT_1 1194 (Grams) 275 (Raw Sum) 3 (Number of Loaded Cells)
CALIBRATION_MODE_1 점
CALIBRATION_POINT_2 584 (Grams) 223 (Raw Sum) 2 (Number of Loaded Cells)
CALIBRATION_MODE_2 점
CALIBRATION_POINT_1 584 (Grams) 275 (Raw Sum) 7 (Number of Loaded Cells)
CALIBRATION_MODE_1 점
CALIBRATION_POINT_2 1197 (Grams) 372 (Raw Sum) 7 (Number of Loaded Cells)
CALIBRATION_MODE_2 점
CALIBRATION_POINT_1 584 (Grams) 265 (Raw Sum) 9 (Number of Loaded Cells)
CALIBRATION_MODE_1 점
CALIBRATION_POINT_2 1197 (Grams) 659 (Raw Sum) 11 (Number of Loaded Cells)
CALIBRATION_MODE_2 점
CALIBRATION_POINT_1 584 (Grams) 434 (Raw Sum) 4 (Number of Loaded Cells)
CALIBRATION_MODE_1 점
CALIBRATION_POINT_2 1197 (Grams) 617 (Raw Sum) 4 (Number of Loaded Cells)
CALIBRATION_MODE_2 점
CALIBRATION_POINT_1 200 (Grams) 182 (Raw Sum) 5 (Number of Loaded Cells)
CALIBRATION_MODE_1 점
CALIBRATION_POINT_2 813.001 (Grams) 932 (Raw Sum) 7 (Number of Loaded Cells)
CALIBRATION_MODE_2 점
CALIBRATION_POINT_1 1193 (Grams) 377 (Raw Sum) 8 (Number of Loaded Cells)
CALIBRATION_MODE_1 점
CALIBRATION_POINT_2 584 (Grams) 355 (Raw Sum) 6 (Number of Loaded Cells)
MAP_INDEX 0
성: 1
이름: x
성별: 여성
START_FRAME 1
END_FRAME 200
UNITS N/cm2
MIRROR_ROW 0
MIRROR_COL 0
ASCII_DATA @@

Frame 1, 0,, 2019-05-15 9:48:51.1오후,,,Raw Sum=,,1687
B,B,B,B,B,B,0.000,0.000,0.000,0.000,B,0.000,0.000,0.000,0.000,B,0.000,0.000,2.563,1.090,B,0.000,1.183,2.291,1.997
B,B,B,B,B,B,3.208,15.859,0.000,0.000,B,0.000,0.000,0.000,0.000,B,0.000,0.000,0.148,0.000,B,0.000,2.145,1.687,1.997
B,B,B,B,B,B,0.000,5.155,0.000,0.000,B,0.000,0.000,0.000,0.213,B,0.000,0.000,0.084,0.000,B,0.000,1.687,1.844,1.183
B,B,B,B,B,B,0.000,0.000,0.000,0.000,B,0.000,0.000,0.000,0.581,B,0.000,0.000,0.000,0.000,B,0.000,1.000,2.980,1.000
B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
B,B,B,B,B,B,0.000,0.000,0.000,0.000,B,0.000,0.000,0.000,0.000,B,0.000,0.000,0.000,0.000,B,0.000,0.000,0.000,0.000
B,B,B,B,B,B,0.000,0.000,0.000,0.000,B,0.000,0.000,0.000,0.000,B,0.000,0.000,0.000,0.000,B,1.844,0.000,0.000,0.000
B,B,B,B,B,B,0.000,0.000,0.000,0.000,B,0.000,0.000,0.000,0.000,B,0.002,0.000,0.000,0.000,B,3.495,0.000,0.000,0.000
B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
B,B,B,B,B,B,0.000,0.000,0.000,0.000,B,0.000,0.000,0.000,0.000,B,0.000,0.000,0.000,0.000,B,0.000,0.000,0.000,0.000
B,B,B,B,B,B,0.000,0.000,0.000,0.000,B,0.000,0.000,0.000,0.000,B,0.000,0.000,0.000,0.000,B,0.000,0.000,0.000,0.000
B,B,B,B,B,B,0.000,0.000,0.000,0.000,B,0.000,0.000,0.000,0.000,B,0.000,0.000,0.000,0.000,B,0.000,0.000,0.000,0.000
B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
B,B,B,B,B,B,0.000,0.037,0.091,0.007,0.004,0.016,0.349,0.740,1.547,3.890,0.946,0.740,2.369,5.470,0.990,0.404,0.000,0.000,0.000
B,B,B,B,B,B,0.000,0.000,0.016,2.808,0.004,0.022,0.079,0.171,0.016,0.209,0.022,0.011,0.037,0.079,0.056,0.000,0.000,0.000,0.000
0.000,0.000,8.255,5.582,B,B,0.000,0.000,0.000,0.171,0.000,0.000,0.004,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,8.470,10.882,B,B,0.037,0.000,0.000,0.120,0.004,0.022,0.004,0.022,0.000,0.029,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,3.543,8.363,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
0.000,0.000,0.935,2.511,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
0.000,0.000,0.000,0.000,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,0.000,0.000,0.000,0.000
0.000,0.000,0.000,1.092,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,0.000,0.000,0.000,0.011
0.606,0.000,0.935,11.597,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,0.017,0.000,0.000,0.000
B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,0.000,0.000,0.000,0.000
B,B,B,B,B,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,B,B,B,B,B,B,B,0.000,0.000,0.000,0.000
